,skills_clean,education,experience_years,job_role
5324,"('security', 'networking', 'sql', 'tcp/ip', 'configuration', 'routing', 'seo', 'cisco')",Networking Certification,4,Network Engineer
5325,"('communication', 'color theory', 'react', 'sql', 'project management', 'technical skills', 'creativity', 'makeup application', 'customer service', 'graphql', 'rust')",Makeup Certification,4,Makeup Artist
5326,"('leadership', 'fleet management', 'cost management', 'graphql', 'time management', 'creativity', 'safety', 'maintenance', 'problem solving', 'deep learning')",Management Experience,5,Fleet Manager
5327,"('mentoring', 'gcp', 'critical thinking', 'communication', 'patient monitoring', 'clinical skills', 'shell scripting', 'sales', 'nursing care', 'medical records')",RN License,1,Registered Nurse
5328,"('graphic design', 'vue.js', 'html', 'query optimization', 'prototyping', 'css', 'vuex', 'javascript', 'api integration')",Bachelor's in Computer Science,1,Vue Developer
5329,"('threat detection', 'security protocols', 'rest api', 'django', 'communication', 'log analysis', 'siem', 'incident response', 'marketing')",Bachelor's in Cybersecurity,2,SOC Analyst
5330,"('vulnerability assessment', 'threat analysis', 'incident response', 'redis', 'docker', 'log analysis', 'security systems', 'risk assessment')",Security+ Certification,4,Cybersecurity Analyst
5331,"('database optimization', 'linux', 'security', 'cassandra', 'flutter', 'docker', 'backup recovery', 'sql', 'web accessibility', 'mongodb', 'css')",Bachelor's in IT,1,Database Administrator
5332,"('regulations', 'postgresql', 'auditing', 'serverless', 'user experience', 'compliance', 'communication', 'risk management', 'documentation', 'market research', 'business development')",Bachelor's in Business,6,Compliance Officer
5333,"('client relations', 'product knowledge', 'problem solving', 'technical knowledge', 'terraform', 'account management', 'figma', 'deep learning', 'project management', 'communication')",Bachelor's in Computer Science,3,Technical Account Manager
5334,"('vehicle systems', 'materials', 'cad', 'testing', 'problem solving', 'rust', 'thermal systems', 'terraform')",Bachelor's in Automotive Engineering,5,Automotive Engineer
5335,"('backup recovery', 'android', 'performance tuning', 'oracle', 'security', 'sql', 'oracle database', 'database administration')",Bachelor's in IT,5,Oracle DBA
5336,"('compliance', 'security architecture', 'linux', 'redis', 'risk management', 'encryption', 'networking', 'business acumen', 'typescript')",Bachelor's in Computer Science,3,Security Engineer
5337,"('typescript', 'video production', 'vue.js', 'technical skills', 'social media', 'strategic planning', 'communication', 'creativity', 'content creation')",High School,3,Content Creator
5338,"('sql', 'apache spark', 'distributed computing', 'problem solving', 'big data', 'python', 'scala', 'terraform')",Bachelor's in Computer Science,5,Spark Developer
5339,"('sports knowledge', 'networking', 'scikit-learn', 'business acumen', 'negotiation', 'scala', 'sales', 'communication', 'marketing')",Bachelor's in Business,1,Sports Agent
5340,"('marketing', 'design software', 'seo', 'branding', 'creativity', 'attention to detail', 'adobe creative suite', 'visual communication', 'jenkins')",Design Certification,1,Graphic Designer
5341,"('firewalls', 'technical knowledge', 'decision making', 'adaptability', 'flying', 'safety', 'java', 'responsibility', 'figma', 'strategic planning', 'navigation')",Commercial Pilot License,4,Pilot
5342,"('system design', 'django', 'networking', 'financial analysis', 'prototyping', 'iot technology', 'sensors', 'c/c++', 'embedded systems')",Bachelor's in Electronics,2,IoT Engineer
5343,"('microservices', 'project management', 'machine learning', 'jira', 'problem solving', 'teamwork', 'react native', 'data analysis', 'business analysis', 'communication', 'process improvement')",MBA,1,Business Consultant
5344,"('attention to detail', 'creativity', 'deep learning', 'ci/cd', 'color grading', 'video editing software', 'gcp', 'audio editing', 'storytelling')",Certification,1,Video Editor
5345,"('shopify', 'liquid', 'javascript', 'c++', 'r', 'problem solving', 'jupyter', 'cloudformation', 'e-commerce', 'api integration')",Bachelor's in Computer Science,4,Shopify Developer
5346,"('android', 'safety', 'law enforcement', 'physical fitness', 'judgment', 'deep learning', 'communication', 'kanban', 'problem solving')",High School,1,Police Officer
5347,"('security protocols', 'penetration testing', 'creativity', 'risk analysis', 'ruby', 'firewalls', 'encryption', 'figma', 'statistics', 'networking')",Security Certification,2,Cybersecurity Specialist
5348,"('penetration testing', 'thermal systems', 'vehicle systems', 'p&l management', 'tensorflow', 'materials', 'problem solving', 'cad', 'kotlin', 'testing')",Bachelor's in Automotive Engineering,1,Automotive Engineer
5349,"('agricultural systems', 'problem solving', 'equipment design', 'sustainability', 'serverless', 'flutter', 'redis', 'technical knowledge', 'analysis')",Bachelor's in Agricultural Engineering,2,Agricultural Engineer
5350,"('memory safety', 'system programming', 'cargo', 'rust', 'performance optimization', 'problem solving', 'confluence', 'adaptability')",Bachelor's in Computer Science,1,Rust Developer
5351,"('jenkins', 'power bi', 'risk assessment', 'email campaign management', 'copywriting', 'analytics', 'segmentation', 'a/b testing', 'automation platforms')",Bachelor's in Marketing,1,Email Marketing Specialist
5352,"('organization', 'communication', 'legal knowledge', 'c#', 'encryption', 'administrative skills', 'typing', 'attention to detail')",Legal Secretary Certification,1,Legal Secretary
5353,"('node.js', 'figma', 'sql', 'management', 'fitness industry knowledge', 'project management', 'customer service', 'oracle', 'leadership', 'sales', 'communication')",High School,2,Fitness Manager
5354,"('java', 'database design', 'data analysis', 'precision', 'seo', 'microbiology', 'laboratory work', 'research', 'problem solving')",Master's in Microbiology,3,Microbiologist
5355,"('compliance', 'sql', 'apache spark', 'mobile security', 'negotiation', 'big data', 'distributed computing', 'react', 'scala', 'python')",Bachelor's in Computer Science,3,Spark Developer
5356,"('documentation', 'collaboration', 'jupyter notebooks', 'python', 'data analysis', 'ansible', 'statistics', 'query optimization', 'visualization', 'responsive design')",Data Science Certificate,4,Jupyter Developer
5357,"('spark', 'hadoop', 'pytorch', 'etl', 'python', 'sql', 'shell scripting', 'responsive design', 'data warehousing', 'teamwork')",Bachelor's in Computer Science,2,Data Engineer
5358,"('sql', 'test automation', 'vue.js', 'manual testing', 'bug tracking', 'selenium', 'cloudformation', 'api testing', 'budget management')",QA Certification,1,QA Engineer
5359,"('risk assessment', 'technical writing', 'security tools', 'reporting', 'vulnerability testing', 'javascript', 'prototyping', 'problem solving', 'security testing')",Bachelor's in Cybersecurity,4,Security Tester
5360,"('perl', 'microservices', 'problem solving', 'budget management', 'communication', 'data analysis', 'organization', 'vendor management', 'event planning')",Associate in Event Planning,1,Event Coordinator
5361,"('pytorch', 'php', 'cms', 'sql', 'javascript', 'joomla', 'theme development', 'data analysis', 'jupyter', 'budget management', 'mysql')",Bachelor's in Computer Science,3,Joomla Developer
5362,"('system design', 'react', 'networking', 'jira', 'web accessibility', 'aws', 'gcp', 'security', 'azure')",Cloud Certification,4,Cloud Architect
5363,"('technical knowledge', 'user interface', 'r', 'sustainability', 'research', 'analysis', 'problem solving', 'environmental science')",Bachelor's in Environmental Science,1,Environmental Scientist
5364,"('react', 'typescript', 'security protocols', 'log analysis', 'incident response', 'siem', 'communication', 'threat detection')",Bachelor's in Cybersecurity,1,SOC Analyst
5365,"('elearning', 'adobe creative suite', 'typescript', 'encryption', 'training program development', 'assessment', 'presentation', 'communication', 'business development', 'adaptability', 'instructional design')",Bachelor's in Education,3,Training Specialist
5366,"('budget management', 'power bi', 'communication', 'policy knowledge', 'public administration', 'ruby', 'rest api', 'financial analysis', 'leadership', 'strategic planning')",MPA,3,Public Administrator
5367,"('debugging', 'c++', 'problem solving', 'responsive design', 'web accessibility', 'system programming', 'performance', 'memory management')",Bachelor's in Computer Science,1,C++ Developer
5368,"('prototyping', 'coaching', 'leadership', 'javascript', 'power bi', 'training program design', 'athletic knowledge', 'agile', 'communication', 'motivation')",Coaching Certification,3,Coach
5369,"('scikit-learn', 'microservices', 'hadoop', 'big data', 'distributed computing', 'hdfs', 'flutter', 'java', 'financial analysis', 'mapreduce')",Bachelor's in Computer Science,1,Hadoop Developer
5370,"('plant science', 'data analysis', 'cloudformation', 'mysql', 'research', 'field work', 'problem solving', 'firewalls', 'ruby', 'compliance', 'communication')",Bachelor's in Botany,4,Botanist
5371,"('decision making', 'leadership', 'jupyter', 'communication', 'ethics', 'vue.js', 'legal expertise', 'p&l management', 'fairness')",Juris Doctor,11,Judge
5372,"('customer service', 'figma', 'communication', 'phone skills', 'computer skills', 'friendliness', 'javascript', 'organization', 'cassandra')",High School,1,Receptionist
5373,"('software design', 'c++', 'git', 'decision making', 'machine learning', 'problem solving', 'python', 'java')",Bachelor's in Computer Science,3,Software Engineer
5374,"('kotlin', 'mobile design', 'microservices', 'java', 'marketing', 'rest api', 'android sdk', 'xml')",Bachelor's in Computer Science,1,Mobile Developer Android
5375,"('php', 'networking', 'azure', 'security', 'system design', 'gcp', 'statistics', 'aws')",Cloud Certification,7,Cloud Architect
5376,"('procurement strategy', 'strategic sourcing', 'negotiation', 'android', 'responsive design', 'compliance', 'cost analysis', 'vendor management')",Bachelor's in Business,6,Procurement Manager
5377,"('tableau', 'communication', 'management', 'writing', 'content editing', 'attention to detail', 'organization', 'project management', 'web design')",Bachelor's in Journalism,1,Editor
5378,"('teamwork', 'problem solving', 'angular', 'memory', 'flask', 'organization', 'customer service', 'communication')",High School,3,Server
5379,"('problem solving', 'communication', 'cultural sensitivity', 'php', 'customer service', 'enthusiasm', 'sql', 'app testing', 'regional knowledge', 'user interface', 'technical writing')",Language Skills,2,Tour Guide
5380,"('django', 'counseling', 'problem solving', 'node.js', 'security architecture', 'statistics', 'crisis intervention', 'empathy', 'css', 'communication', 'case management')",Master's in Social Work,1,Social Worker
5381,"('social media', 'python', 'technical skills', 'video production', 'power bi', 'communication', 'content creation', 'creativity', 'firewalls')",High School,1,Content Creator
5382,"('flask', 'mongodb', 'calculations', 'react', 'structural analysis', 'cad', 'building codes', 'user experience', 'materials', 'design')",Bachelor's in Civil Engineering,3,Structural Engineer
5383,"('fairness', 'communication', 'critical thinking', 'react', 'legal expertise', 'ethics', 'leadership', 'decision making')",Bar License,10,Judge
5384,"('html', 'research', 'terraform', 'contract negotiation', 'strategic thinking', 'corporate law', 'writing', 'technical writing', 'serverless', 'communication')",Corporate Law Specialization,4,Corporate Lawyer
5385,"('maven', 'spring boot', 'java', 'graphql', 'sql', 'docker', 'rest api', 'responsive design', 'microservices', 'c#')",Bachelor's in Computer Science,2,Java Backend Developer
5386,"('problem solving', 'azure', 'terraform', 'mentoring', 'data analysis', 'field work', 'plant science', 'communication', 'research')",Master's preferred,2,Botanist
5387,"('graphql', 'documentation', 'fitness knowledge', 'presentation skills', 'adaptability', 'communication', 'motivation', 'anatomy', 'training program design', 'scikit-learn', 'problem solving')",Personal Training Certification,3,Personal Trainer
5388,"('customer service', 'nail care', 'numpy', 'sanitation', 'artistry', 'communication', 'precision', 'financial analysis')",License,2,Nail Technician
5389,"('market intelligence', 'strategic leadership', 'brand management', 'digital transformation', 'executive communication', 'c#', 'mobile ui/ux', 'vision')",MBA,11,CMO
5390,"('scikit-learn', 'curriculum development', 'android', 'patience', 'instruction', 'communication', 'student assessment', 'classroom management')",Bachelor's in Education,0,Teacher
5391,"('technical knowledge', 'c++', 'safety', 'precision', 'problem solving', 'physical stamina', 'css', 'java', 'welding', 'marketing')",Welding Certification,1,Welder
5392,"('angular', 'regulatory knowledge', 'management', 'leadership', 'safety', 'creativity', 'flask', 'electrical systems', 'problem solving')",Engineering License,2,Electrical Utilities Manager
5393,"('query optimization', 'surveillance', 'teamwork', 'communication', 'security', 'cloudformation', 'investigation', 'leadership', 'problem solving', 'aws')",High School,1,Loss Prevention Manager
5394,"('r', 'quality control', 'dairy operations', 'deep learning', 'c#', 'leadership', 'problem solving', 'equipment', 'animal health')",Agriculture Program,2,Dairy Manager
5395,"('creativity', 'customer service', 'agile', 'security architecture', 'technical skills', 'communication', 'precision', 'microservices', 'hair styling', 'c#', 'presentation skills')",License,4,Hairstylist
5396,"('configuration', 'compliance', 'support', 'administration', 'data management', 'numpy', 'user management', 'seo', 'salesforce')",Salesforce Admin Certification,0,Salesforce Administrator
5397,"('problem solving', 'communication', 'perl', 'plant science', 'data analysis', 'field work', 'research', 'react native')",Master's preferred,5,Botanist
5398,"('compensation', 'oracle', 'compliance', 'communication', 'leadership', 'recruitment', 'user experience', 'kotlin', 'tableau', 'nosql', 'employee relations')",Bachelor's in Business,2,HR Manager
5399,"('graphic design', 'app testing', 'creativity', 'design', 'environmental knowledge', 'sales', 'technical skills', 'horticulture', 'cad')",Bachelor's in Landscape Architecture,4,Landscape Architect
5400,"('pub/sub', 'performance optimization', 'scalability', 'data structures', 'css', 'user experience', 'oracle', 'pytorch', 'redis', 'node.js', 'caching')",Bachelor's in Computer Science,4,Redis Developer
5401,"('problem solving', 'statistical analysis', 'ios', 'firewalls', 'compliance', 'process improvement', 'quality management', 'react', 'leadership', 'query optimization', 'tableau')",Bachelor's in Engineering,6,Quality Assurance Manager
5402,"('gcp', 'sql', 'documentation', 'stakeholder communication', 'strategic planning', 'excel', 'web accessibility', 'requirements gathering', 'process improvement', 'vue.js')",Bachelor's in Computer Science,3,Business Analyst
5403,"('react native', 'leadership', 'communication', 'performance metrics', 'azure', 'penetration testing', 'customer service', 'problem solving', 'team management', 'prototyping')",High School,4,Call Center Manager
5404,"('outdoor skills', 'conservation', 'problem solving', 'communication', 'environmental knowledge', 'public safety', 'encryption', 'scala', 'strategic planning')",Bachelor's in Environmental Science,2,Park Ranger
5405,"('safety', 'tensorflow', 'precision', 'technical knowledge', 'problem solving', 'physical stamina', 'welding', 'technical writing', 'network security')",Trade School,0,Welder
5406,"('data analysis', 'azure', 'agile', 'visual design', 'figma', 'customer service', 'jira', 'lighting', 'sales', 'creativity', 'arrangement')",Design Knowledge,4,Visual Merchandiser
5407,"('hardware installation', 'problem solving', 'agile', 'responsive design', 'documentation', 'troubleshooting', 'customer service', 'mobile ui/ux', 'networking')",High School,0,IT Field Technician
5408,"('analysis', 'reporting', 'problem solving', 'market research', 'performance testing', 'jmeter', 'load testing', 'ruby')",Bachelor's in IT,2,Performance Tester
5409,"('customer service', 'python', 'networking', 'problem solving', 'hardware installation', 'adobe creative suite', 'web accessibility', 'documentation', 'c#', 'troubleshooting', 'graphql')",High School,3,IT Field Technician
5410,"('problem solving', 'navigation', 'kotlin', 'maritime law', 'leadership', 'web accessibility', 'css', 'safety', 'technical knowledge', 'compliance')",Maritime Academy,8,Ship Captain
5411,"('java', 'scripting', 'problem solving', 'system administration', 'tensorflow', 'perl', 'regular expressions', 'web design', 'business acumen', 'user experience', 'text processing')",Bachelor's in Computer Science,5,Perl Developer
5412,"('web design', 'technical expertise', 'communication', 'pandas', 'network security', 'leadership', 'strategic design', 'enterprise architecture', 'css', 'vision')",Enterprise Architecture Certification,9,Enterprise Architect
5413,"('problem solving', 'decision making', 'ui/ux', 'mobile development', 'network security', 'ios development', 'web design', 'swift', 'xcode')",Bachelor's in Computer Science,2,Swift Developer
5414,"('business acumen', 'treatment planning', 'teamwork', 'empathy', 'communication', 'pandas', 'active listening', 'counseling', 'query optimization', 'problem solving')",Master's in Counseling,0,Counselor
5415,"('staff management', 'business acumen', 'safety', 'warehouse management', 'terraform', 'problem solving', 'inventory control', 'organization', 'oracle')",High School with experience,3,Warehouse Manager
5416,"('wireframing', 'spark', 'numpy', 'hadoop', 'etl', 'sql', 'python', 'leadership', 'ios', 'adobe creative suite', 'data warehousing')",Bachelor's in Computer Science,5,Data Engineer
5417,"('creativity', 'cassandra', 'graphic design', 'scalability', 'distributed systems', 'performance', 'cql', 'java', 'nosql')",Bachelor's in Computer Science,5,Cassandra Developer
5418,"('regulations', 'analysis', 'adobe creative suite', 'presentation skills', 'environmental assessment', 'sustainability', 'waste management', 'water systems')",Bachelor's in Environmental Engineering,3,Environmental Engineer
5419,"('recruitment', 'compensation', 'communication', 'compliance', 'web design', 'leadership', 'jira', 'employee relations')",Bachelor's in HR,6,HR Manager
5420,"('jupyter', 'ios', 'financial analysis', 'presentation skills', 'communication', 'leadership', 'management', 'customer service', 'fitness industry knowledge', 'sales')",Associate in Fitness Management,1,Fitness Manager
5421,"('dairy operations', 'ios', 'equipment', 'kubernetes', 'animal health', 'r', 'quality control', 'perl', 'problem solving', 'leadership')",Agriculture Program,2,Dairy Manager
5422,"('api development', 'data analysis', 'ruby on rails', 'ruby', 'sql', 'c#', 'react native', 'responsive design', 'problem solving', 'html/css')",Bachelor's in Computer Science,4,Ruby Developer
5423,"('confluence', 'problem solving', 'legal research', 'vue.js', 'communication', 'writing', 'analysis', 'attention to detail')",Juris Doctor,1,Law Clerk
5424,"('security', 'container security', 'ruby', 'linux', 'statistics', 'devops', 'ci/cd', 'compliance', 'vue.js', 'negotiation', 'network security')",Security Certification,4,DevSecOps Engineer
5425,"('react native', 'financial management', 'go', 'staff management', 'communication', 'leadership', 'web accessibility', 'restaurant management', 'customer service')",High School,4,Restaurant Manager
5426,"('surgical expertise', 'perl', 'gcp', 'precision', 'research', 'patient care', 'problem solving', 'technical skills')",License,7,Surgeon
5427,"('problem solving', 'mysql', 'mechanical design', 'technical documentation', 'physics', 'query optimization', 'thermodynamics', 'cad')",Bachelor's in Mechanical Engineering,3,Mechanical Engineer
5428,"('encryption', 'hvac systems', 'technical knowledge', 'problem solving', 'rust', 'equipment', 'troubleshooting', 'r', 'safety', 'mysql')",Trade School,5,HVAC Technician
5429,"('terraform', 'smart contracts', 'blockchain technology', 'problem solving', 'python', 'solidity', 'cryptocurrency', 'go', 'scala')",Blockchain Certification,4,Blockchain Developer
5430,"('android', 'communication', 'creativity', 'pytorch', 'html', 'business acumen', 'leadership', 'technical knowledge', 'problem solving', 'production management')",Bachelor's in Communications,3,Producer
5431,"('tableau', 'user interface', 'problem solving', 'system administration', 'shell scripting', 'docker', 'linux', 'agile', 'bash', 'automation', 'wireframing')",Bachelor's in Computer Science,3,Shell Script Developer
5432,"('warehouse management', 'problem solving', 'machine learning', 'inventory control', 'staff management', 'organization', 'security architecture', 'safety')",Bachelor's in Logistics,1,Warehouse Manager
5433,"('mentoring', 'tensorflow', 'communication', 'facial treatment', 'customer service', 'skincare', 'web design', 'product knowledge', 'technical skills')",License,3,Esthetician
5434,"('mysql', 'motivation', 'training program design', 'fitness knowledge', 'adobe creative suite', 'tableau', 'business acumen', 'problem solving', 'communication', 'anatomy', 'wireframing')",Personal Training Certification,0,Personal Trainer
5435,"('python', 'sql', 'artificial intelligence', 'tensorflow', 'research', 'agile', 'problem solving', 'power bi', 'deep learning')",Master's in Machine Learning,2,AI/ML Specialist
5436,"('communication', 'budget management', 'nursing leadership', 'technical writing', 'staff management', 'pytorch', 'clinical knowledge', 'scikit-learn', 'postgresql', 'vue.js', 'patient safety')",Master's in Nursing,6,Nursing Manager
5437,"('organization', 'office management', 'problem solving', 'documentation', 'administrative skills', 'go', 'leadership', 'jupyter', 'communication', 'php')",High School,5,Office Manager
5438,"('team management', 'python', 'market research', 'analytics', 'microservices', 'budget management', 'brand strategy', 'strategic marketing', 'security protocols', 'leadership')",MBA,7,Marketing Director
5439,"('empathy', 'tableau', 'mysql', 'decision making', 'medical knowledge', 'patient communication', 'numpy', 'treatment', 'diagnosis')",Medical Degree,3,Physician
5440,"('precision', 'marketing', 'negotiation', 'technical skills', 'hair styling', 'creativity', 'tableau', 'customer service', 'communication')",License,4,Hairstylist
5441,"('deep learning', 'vue.js', 'ci/cd', 'python', 'artificial intelligence', 'problem solving', 'tensorflow', 'research', 'gcp')",Master's in Machine Learning,3,AI/ML Specialist
5442,"('client relations', 'product knowledge', 'sql', 'communication', 'typescript', 'technical knowledge', 'ruby', 'time management', 'problem solving', 'account management')",Bachelor's in Computer Science,3,Technical Account Manager
5443,"('pytorch', 'python', 'scala', 'negotiation', 'react native', 'communication', 'sales strategy', 'mobile ui/ux', 'crm', 'team leadership', 'target setting')",Bachelor's in Sales,4,Sales Manager
5444,"('sql', 'postgresql', 'microservices', 'safety', 'customer service', 'route knowledge', 'responsibility', 'teamwork', 'problem solving', 'driving')",Commercial Driver's License,3,Bus Driver
5445,"('query optimization', 'occupational therapy', 'swift', 'communication', 'jupyter', 'treatment planning', 'patient assessment', 'empathy', 'docker', 'problem solving')",Master's in Occupational Therapy,2,Occupational Therapist
5446,"('sql', 'big data', 'scikit-learn', 'go', 'flutter', 'python', 'scala', 'technical writing', 'apache spark', 'distributed computing')",Bachelor's in Computer Science,2,Spark Developer
5447,"('product knowledge', 'leadership', 'technical problem solving', 'presentation', 'solution design', 'customer relations', 'communication', 'android')",Bachelor's in Engineering,3,Solutions Engineer
5448,"('bash', 'kubernetes', 'system administration', 'linux', 'automation', 'shell scripting', 'adaptability', 'problem solving')",Bachelor's in Computer Science,3,Shell Script Developer
5449,"('communication', 'tableau', 'teamwork', 'decision making', 'strategic leadership', 'redis', 'department management', 'documentation', 'jira', 'business development', 'vision')",MBA,9,Vice President
5450,"('hair styling', 'customer service', 'data analysis', 'technical skills', 'critical thinking', 'prototyping', 'communication', 'creativity', 'php', 'precision')",Beauty School,3,Hairstylist
5451,"('it knowledge', 'communication', 'project management', 'budget control', 'jupyter', 'query optimization', 'problem solving', 'sql', 'leadership', 'php')",Project Management Certification,5,IT Project Manager
5452,"('ansible', 'penetration testing', 'compassion', 'html', 'communication', 'medical knowledge', 'attention to detail', 'c#', 'patient care', 'critical thinking', 'gcp')",Bachelor's in Nursing,2,Nurse
5453,"('ruby on rails', 'microservices', 'api development', 'ruby', 'query optimization', 'problem solving', 'sql', 'strategic planning', 'html/css')",Bachelor's in Computer Science,2,Ruby Developer
5454,"('content creation', 'communication', 'negotiation', 'problem solving', 'photography/videography', 'adaptability', 'vue.js', 'creativity', 'social media', 'android', 'analytics')",High School,1,Social Media Content Creator
5455,"('environmental assessment', 'sustainability', 'angular', 'jira', 'water systems', 'regulations', 'analysis', 'waste management', 'web design')",Bachelor's in Environmental Engineering,5,Environmental Engineer
5456,"('pandas', 'performance tuning', 'negotiation', 'query optimization', 'sql', 'data integration', 'graphic design', 'etl', 'informatica', 'data quality')",Bachelor's in IT,4,Informatica Developer
5457,"('html', 'rust', 'problem solving', 'sustainability', 'business management', 'safety', 'equipment operation', 'farming')",Agriculture Experience,3,Farmer
5458,"('leadership', 'pandas', 'docker', 'project management', 'it knowledge', 'communication', 'problem solving', 'adaptability', 'budget control')",Bachelor's in IT,6,IT Project Manager
5459,"('curriculum development', 'evaluation', 'wireframing', 'program design', 'communication', 'javascript', 'pandas', 'negotiation', 'leadership', 'instruction')",Bachelor's in Education,4,Training Manager
5460,"('lighting', 'editing software', 'creativity', 'mobile ui/ux', 'java', 'statistics', 'client service', 'photography', 'composition')",Associate in Photography,0,Photographer
5461,"('massage therapy', 'user experience', 'mobile ui/ux', 'anatomy', 'critical thinking', 'problem solving', 'communication', 'customer service', 'empathy', 'redis')",License,1,Massage Therapist
5462,"('problem solving', 'kotlin', 'ruby', 'html', 'teamwork', 'safety', 'web accessibility', 'graphql', 'fire fighting', 'quick thinking', 'physical fitness')",Fire Academy,0,Firefighter
5463,"('communication', 'active listening', 'gcp', 'serverless', 'problem solving', 'empathy', 'treatment planning', 'business development', 'postgresql', 'counseling', 'mongodb')",Licensing Credentials,4,Counselor
5464,"('react native', 'communication', 'scrum', 'problem solving', 'team leadership', 'agile', 'coaching', 'swift', 'cassandra')",Scrum Master Certification,1,Scrum Master
5465,"('budget management', 'time management', 'c++', 'memory management', 'performance', 'debugging', 'system programming', 'wireframing', 'problem solving')",Bachelor's in Computer Science,2,C++ Developer
5466,"('field work', 'problem solving', 'negotiation', 'technical knowledge', 'geology', 'research', 'analysis', 'jupyter')",Bachelor's in Geology,3,Geologist
5467,"('customer service', 'decision making', 'precision', 'technical skills', 'hair styling', 'communication', 'creativity', 'jenkins')",License,3,Hairstylist
5468,"('medical knowledge', 'psychiatric diagnosis', 'problem solving', 'treatment planning', 'patient communication', 'swift', 'empathy', 'microservices')",Medical Degree,6,Psychiatrist
5469,"('javascript', 'sales', 'office management', 'administrative skills', 'communication', 'seo', 'kotlin', 'organization', 'problem solving', 'pandas', 'leadership')",Leadership Experience,1,Office Manager
5470,"('occupational therapy', 'communication', 'problem solving', 'project management', 'treatment planning', 'patient assessment', 'empathy', 'business acumen')",OT License,4,Occupational Therapist
5471,"('app testing', 'pytorch', 'statistical analysis', 'excel', 'data visualization', 'sql', 'go', 'nosql', 'tableau', 'python')",Bachelor's in Statistics,0,Data Analyst
5472,"('sales', 'serverless', 'aws', 'strategic planning', 'negotiation', 'cloudformation', 'confluence', 'property knowledge', 'communication', 'marketing', 'customer service')",Real Estate License,1,Real Estate Agent
5473,"('legal expertise', 'decision making', 'business development', 'leadership', 'shell scripting', 'fairness', 'communication', 'creativity', 'ethics')",Bar License,9,Judge
5474,"('unreal engine', 'c#', 'ar/vr platforms', 'problem solving', 'unity', 'android', '3d graphics', 'p&l management')",Specialized Training,2,AR/VR Developer
5475,"('personality', 'decision making', 'node.js', 'interviewing', 'public speaking', 'improvisation', 'css', 'problem solving', 'communication', 'perl')",Broadcasting School,0,Radio Host
5476,"('writing', 'power bi', 'enthusiasm', 'risk assessment', 'scrum', 'sports knowledge', 'quick thinking', 'adaptability', 'communication', 'public speaking')",Broadcasting,2,Sports Commentator
5477,"('analysis', 'jmeter', 'reporting', 'rust', 'performance testing', 'problem solving', 'go', 'load testing')",Bachelor's in IT,4,Performance Tester
5478,"('docker', 'compassion', 'anatomy knowledge', 'exercise prescription', 'css', 'physical therapy', 'communication', 'kotlin', 'statistics', 'patient assessment', 'c++')",PT License,2,Physical Therapist
5479,"('creativity', 'problem solving', 'leadership', 'technical writing', 'production management', 'technical knowledge', 'c++', 'communication')",Bachelor's in Communications,5,Producer
5480,"('microcontrollers', 'embedded systems', 'hardware design', 'cad', 'circuit design', 'ios', 'pcb design', 'app testing')",Bachelor's in Electronics Engineering,1,Electronics Engineer
5481,"('jupyter', 'sql', 'data integration', 'etl', 'talend', 'adobe creative suite', 'java', 'docker', 'data quality')",Bachelor's in IT,1,Talend Developer
5482,"('aws', 'marketing', 'gcp', 'communication', 'technical writing', 'database design', 'documentation', 'problem solving', 'api documentation', 'organization')",Technical Writing Certification,4,Technical Writer
5483,"('kubernetes', 'communication', 'design knowledge', 'team management', 'css', 'adaptability', 'creative vision', 'responsive design', 'leadership', 'strategic thinking', 'marketing')",Bachelor's in Design,4,Creative Director
5484,"('technical knowledge', 'risk assessment', 'problem solving', 'safety', 'equipment', 'hvac systems', 'troubleshooting', 'perl', 'shell scripting')",Trade School,2,HVAC Technician
5485,"('sales', 'business development', 'communication', 'negotiation', 'mysql', 'marketing', 'compliance', 'property knowledge', 'customer service', 'technical writing', 'power bi')",High School,3,Real Estate Agent
5486,"('gcp', 'technical skills', 'conservation', 'restoration', 'agile', 'problem solving', 'negotiation', 'research', 'precision', 'project management')",Master's in Conservation,3,Conservator
5487,"('lab testing', 'azure', 'analysis', 'equipment operation', 'accuracy', 'quality control', 'attention to detail', 'market research')",Certification,2,Medical Technologist
5488,"('process management', 'sql', 'quality control', 'user experience', 'leadership', 'deep learning', 'project management', 'efficiency optimization', 'data analysis')",Bachelor's in Business,5,Operations Manager
5489,"('deep learning', 'project management', 'curriculum development', 'leadership', 'angular', 'coaching', 'training design', 'e-learning', 'machine learning')",Master's in Education,3,Learning & Development Manager
5490,"('waste management', 'java', 'regulations', 'sustainability', 'azure', 'rest api', 'scikit-learn', 'environmental assessment', 'cassandra', 'analysis', 'water systems')",Bachelor's in Environmental Engineering,3,Environmental Engineer
5491,"('sales engineering', 'postgresql', 'product demonstration', 'ansible', 'pandas', 'communication', 'technical knowledge', 'client relations', 'problem solving', 'power bi', 'mobile security')",Bachelor's in Computer Science,1,Pre-Sales Engineer
5492,"('security architecture', 'nutrition science', 'pytorch', 'health knowledge', 'counseling', 'figma', 'decision making', 'client communication', 'research', 'meal planning', 'redis')",Bachelor's in Nutrition,3,Nutritionist
5493,"('pytorch', 'statistics', 'shell scripting', 'technical writing', 'rust', 'deep learning', 'tensorflow', 'python', 'research')",Master's in AI,2,Machine Learning Engineer
